Observation Number,Measurement Date (UTC),Measurement Time (UTC),Observation Latitude,Observation Longitude,North Image URL,North Clearsky,North Cirrus/Cirrostratus,North Cirrocumulus/Altocumulus,North Altostratus/Stratus,North Stratocumulus,North Cumulus,North Cumulonimbus,North Contrails,North Smoke/Haze,North Dust,North Agreement,North Classification Count,North Retirement,East Image URL,East Clearsky,East Cirrus/Cirrostratus,East Cirrocumulus/Altocumulus,East Altostratus/Stratus,East Stratocumulus,East Cumulus,East Cumulonimbus,East Contrails,East Smoke/Haze,East Dust,East Agreement,East Classification Count,East Retirement,South Image URL,South Clearsky,South Cirrus/Cirrostratus,South Cirrocumulus/Altocumulus,South Altostratus/Stratus,South Stratocumulus,South Cumulus,South Cumulonimbus,South Contrails,South Smoke/Haze,South Dust,South Agreement,South Classification Count,South Retirement,West Image URL,West Clearsky,West Cirrus/Cirrostratus,West Cirrocumulus/Altocumulus,West Altostratus/Stratus,West Stratocumulus,West Cumulus,West Cumulonimbus,West Contrails,West Smoke/Haze,West Dust,West Agreement,West Classification Count,West Retirement,Up Image URL,Up Clearsky,Up Cirrus/Cirrostratus,Up Cirrocumulus/Altocumulus,Up Altostratus/Stratus,Up Stratocumulus,Up Cumulus,Up Cumulonimbus,Up Contrails,Up Smoke/Haze,Up Dust,Up Agreement,Up Classification Count,Up Retirement
116-103008-31783502-202201150147,2022-01-15,01:47:00,-40.541500,176.194700,https://data.globe.gov/system/photos/2022/01/15/2583063/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2583065/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583064/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583066/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583067/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus
116-103110-19942096-202201151008,2022-01-15,10:08:00,60.191300,24.005600,https://data.globe.gov/system/photos/2022/01/15/2583414/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583416/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583415/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583417/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583418/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-103334-35497537-202201152025,2022-01-15,20:25:00,40.005200,-105.109800,https://data.globe.gov/system/photos/2022/01/15/2585165/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585167/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585166/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585168/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585169/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus
116-103334-35497537-202201161722,2022-01-16,17:22:00,40.005100,-105.109800,https://data.globe.gov/system/photos/2022/01/16/2588306/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588313/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588311/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588318/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588321/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus
116-103334-35497537-202201161916,2022-01-16,19:16:00,40.005300,-105.109500,https://data.globe.gov/system/photos/2022/01/16/2588340/original.jpg,0,0,0,0,0,0,1,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588342/original.jpg,0,0,1,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588341/original.jpg,0,0,0,0,1,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588343/original.jpg,0,0,0,0,1,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588350/original.jpg,0,0,1,0,0,0,0,0,0,0,0.4,8,classification_count
116-103334-35497537-202201171805,2022-01-17,18:05:00,40.005000,-105.109800,https://data.globe.gov/system/photos/2022/01/17/2591177/original.jpg,0,0,1,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591183/original.jpg,0,0,1,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591182/original.jpg,0,1,0,0,0,0,0,0,0,0,0.6,9,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591184/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591185/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,5,consensus
116-103334-35497537-202201171901,2022-01-17,19:01:00,40.005300,-105.109400,https://data.globe.gov/system/photos/2022/01/17/2591485/original.jpg,0,0,0,0,0,1,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591487/original.jpg,0,0,0,0,0,1,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591486/original.jpg,0,0,0,0,1,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591488/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591489/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,5,consensus
116-103334-35497537-202201181710,2022-01-18,17:10:00,40.005200,-105.109800,https://data.globe.gov/system/photos/2022/01/18/2594702/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594709/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594703/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594711/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594712/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count
116-103334-35497537-202201182041,2022-01-18,20:41:00,40.005100,-105.109700,https://data.globe.gov/system/photos/2022/01/18/2594714/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594716/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594715/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594717/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594718/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-106827-80972583-202201170413,2022-01-17,04:13:00,24.105600,120.636000,https://data.globe.gov/system/photos/2022/01/17/2589257/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589259/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589258/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589260/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589261/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus
